"","PA.#","PA.Name","Total.GW.AG","Total.GW.Urban","Total.GW.MW","Total.GW.Use","Total.Supply.AG.(includes.Reuse)","Total.Supply.Urban.(includes.Reuse)","Total.Supply.MW.(includes.Reuse)","Year","Region"
"125",501,"Shasta - Pit",93.2,11.4,0,104.6,371.9,17,8.1,"2007","Sacramento River Region"
"126",502,"Upper Northwest Valley",1.6,0.4,0,2,7.8,0.6,0,"2007","Sacramento River Region"
"127",503,"Lower Northwest Valley",263.7,46,0,309.7,524.3,58.4,0.2,"2007","Sacramento River Region"
"128",504,"Northeast Valley",199.9,42.2,0,242.1,348.6,81.1,1.2,"2007","Sacramento River Region"
"129",505,"Southwest",43.6,4.4,0,48,54.4,9.2,0,"2007","Sacramento River Region"
"130",506,"Colusa Basin",548.8,15.5,9.6,573.9,2060,15.6,168.5,"2007","Sacramento River Region"
"131",507,"Butte - Sutter - Yuba",562.9,49.5,10.1,622.5,2559.5,73.1,289.7,"2007","Sacramento River Region"
"132",508,"Southeast",38.7,25.7,0,64.4,335,112.8,17.1,"2007","Sacramento River Region"
"133",509,"Central Basin West",473.8,47.7,0,521.5,923.8,78.5,0,"2007","Sacramento River Region"
"134",510,"Sacramento Delta",23,2.7,0,25.7,624.3,30.7,16.1,"2007","Delta Region"
"135",511,"Central Basin East",235.2,211,0,446.2,461.3,436.6,0,"2007","Sacramento River Region"
"136",601,"Upper West Side Uplands",1.1,2.4,0,3.5,33.9,64.7,0,"2007","San Joaquin Valley"
"137",602,"San Joaquin Delta",1.3,30.8,0,32.1,926.6,93.2,1.9,"2007","Delta Region"
"138",603,"Eastern Valley Floor",694.8,57.9,0,752.7,851.4,131,0.8,"2007","Delta Eastside Tributaries"
"139",604,"Sierra Foothills",1.6,3.1,0,4.7,17.4,41.3,0,"2007","Delta Eastside Tributaries"
"140",605,"West Side Uplands",0,0,0,0,0,0,0,"2007","San Joaquin Valley"
"141",606,"Valley West Side",556,31.8,185.3,773.1,1765.6,35.4,454.9,"2007","San Joaquin Valley"
"142",607,"Upper Valley East Side",107.4,93.8,4.4,205.6,956.4,150.3,12.9,"2007","San Joaquin Valley"
"143",608,"Middle Valley East Side",335.4,79,0,414.4,1053.1,79,0,"2007","San Joaquin Valley"
"144",609,"Lower Valley East Side",1288.5,97.3,11.7,1397.5,2159,97.5,45.3,"2007","San Joaquin Valley"
"145",610,"East Side Uplands",3.1,16.8,0,19.9,3.1,17.5,0,"2007","San Joaquin Valley"
"146",701,"Western Uplands",0.3,1.9,0,2.2,0.3,1.9,0,"2007","San Joaquin Valley"
"147",702,"San Luis West Side",570.9,10.3,0,581.2,1705.2,22.4,0,"2007","San Joaquin Valley"
"148",703,"Lower Kings-Tulare",1563,48.9,0,1611.9,2140.6,49,29.8,"2007","San Joaquin Valley"
"149",704,"Fresno - Academy",120.6,232.7,0,353.3,472.4,291,0,"2007","San Joaquin Valley"
"150",705,"Alta - Orange Cove",688.3,64,0,752.3,928.6,66.1,0,"2007","San Joaquin Valley"
"151",706,"Kaweah Delta",2007.7,116.6,3.3,2127.6,2457.5,121.5,3.3,"2007","San Joaquin Valley"
"152",707,"Uplands",35,13.7,0,48.7,36.6,19.8,0,"2007","San Joaquin Valley"
"153",708,"Semitropic - Buena Vista",618.7,21.2,23.9,663.8,1163,33.8,45.5,"2007","San Joaquin Valley"
"154",709,"Kern Valley Floor",363.8,28.9,0,392.7,820.9,35.2,0,"2007","San Joaquin Valley"
"155",710,"Kern Delta",718.8,118.4,0,837.2,1341.9,167.2,0,"2007","San Joaquin Valley"
"156",801,"Lassen",129.8,19,11.6,160.4,328.7,22.6,23.7,"2007",NA
"157",802,"Alpine",0.5,19.2,0,19.7,150,22.8,0,"2007",NA
"158",901,"Mono-Owens",159.2,11.2,0,170.4,198.1,12.3,0,"2007","Southern California"
"159",902,"Indian Wells",10.8,20.8,0,31.6,10.8,21.2,0,"2007","Southern California"
"160",903,"Death Valley",11.9,4,0,15.9,11.9,4,0,"2007","Southern California"
"161",904,"Antelope Valley",67,28.1,0,95.1,85.4,141.9,0,"2007","Southern California"
"162",905,"Mojave River",58.6,105.1,0,163.7,105.2,142.6,0,"2007","Southern California"
"163",1001,"Twenty-Nine Palms - Lanfair",12.3,17.2,0,29.5,12.3,22.2,0,"2007","Southern California"
"164",1002,"Coachella",23.2,281.8,0,305,266.1,460.4,0,"2007","Southern California"
"165",1003,"Chuckwalla",2.8,2.1,0,4.9,2.8,2.2,0,"2007","Southern California"
"166",1004,"Colorado River",0.7,10.8,0,11.5,749.3,13.8,0,"2007","Southern California"
"167",1005,"Borrego",16,8.7,0,24.7,45.6,9.5,0,"2007","Southern California"
"168",1006,"Imperial Valley",0,0.2,0,0.2,2600.5,88.7,30.3,"2007","Southern California"
"169",101,"Upper Klamath",188.5,6.2,2.5,197.2,563,9.9,276.4,"2008",NA
"170",102,"Lower Klamath",9.7,5.4,0,15.1,34.8,11.7,0,"2008",NA
"171",103,"Coastal",75.7,17.7,0,93.4,98.7,48.1,0,"2008",NA
"172",104,"Russian River",57.9,30.3,0,88.2,85.2,80.5,0,"2008",NA
"173",201,"North Bay",74.7,25.3,0,100,94.9,154.8,1,"2008","San Francisco Bay Area"
"174",202,"South Bay",19.4,161.1,0,180.5,20.4,935.7,0,"2008","San Francisco Bay Area"
"175",301,"Northern",632.4,116.9,0,749.3,708,141.2,0.5,"2008","Central Coast"
"176",302,"Southern",407.1,88.8,0,495.9,443.4,146.7,0,"2008","Central Coast"
"177",401,"Santa Clara",296.5,64.7,0,361.2,344.8,251.7,0,"2008","Southern California"
"178",402,"Metropolitan LA",3.2,614,0,617.2,6.2,1674.3,27,"2008","Southern California"
"179",403,"Santa Ana",135.1,524.1,0,659.2,159.8,1264.4,5.3,"2008","Southern California"
"180",404,"San Diego",34.1,25.4,0,59.5,263.3,905.2,0,"2008","Southern California"
"181",501,"Shasta - Pit",88.3,11.1,0,99.4,356,16.6,8.1,"2008","Sacramento River Region"
"182",502,"Upper Northwest Valley",5.9,0.4,0,6.3,11.2,0.7,0,"2008","Sacramento River Region"
"183",503,"Lower Northwest Valley",265.4,46.4,0,311.8,504,58.6,0.2,"2008","Sacramento River Region"
"184",504,"Northeast Valley",199.1,40.8,0,239.9,350.4,79.3,1.2,"2008","Sacramento River Region"
"185",505,"Southwest",44.4,4.6,0,49,52.8,9.3,0,"2008","Sacramento River Region"
"186",506,"Colusa Basin",618.8,15.2,9.3,643.3,2077.6,15.3,159.4,"2008","Sacramento River Region"
"187",507,"Butte - Sutter - Yuba",547.5,52.7,11.3,611.5,2546.1,73.2,286.9,"2008","Sacramento River Region"
"188",508,"Southeast",42.6,23.9,0,66.5,353.1,106.4,2.6,"2008","Sacramento River Region"
"189",509,"Central Basin West",561.4,53.5,0,614.9,953.9,73.7,0,"2008","Sacramento River Region"
"190",510,"Sacramento Delta",22.4,9.5,0,31.9,517.8,41.7,62.5,"2008","Delta Region"
"191",511,"Central Basin East",230.3,164.4,0,394.7,463.5,475.9,0,"2008","Sacramento River Region"
"192",601,"Upper West Side Uplands",4.3,3.5,0,7.8,35.2,97.5,0,"2008","San Joaquin Valley"
"193",602,"San Joaquin Delta",1.2,51.8,0,53,931.5,131.3,1.7,"2008","Delta Region"
"194",603,"Eastern Valley Floor",469.3,37.4,0,506.7,870.3,98.3,0.8,"2008","Delta Eastside Tributaries"
"195",604,"Sierra Foothills",3.4,2.9,0,6.3,24.1,44.2,0,"2008","Delta Eastside Tributaries"
"196",605,"West Side Uplands",0,0.3,0,0.3,0,0.3,0,"2008","San Joaquin Valley"
"197",606,"Valley West Side",655,26.4,195.3,876.7,1701.7,30.6,441.9,"2008","San Joaquin Valley"
"198",607,"Upper Valley East Side",116.8,93.7,0,210.5,948.2,158.6,13,"2008","San Joaquin Valley"
"199",608,"Middle Valley East Side",509.4,75.4,0,584.8,1142,75.4,0,"2008","San Joaquin Valley"
"200",609,"Lower Valley East Side",1485,101.4,12.5,1598.9,2175.5,101.6,45,"2008","San Joaquin Valley"
"201",610,"East Side Uplands",3.8,15.3,0,19.1,3.8,15.8,0,"2008","San Joaquin Valley"
"202",701,"Western Uplands",0.3,2.1,0,2.4,0.3,2.1,0,"2008","San Joaquin Valley"
