"","PA.#","PA.Name","Total.GW.AG","Total.GW.Urban","Total.GW.MW","Total.GW.Use","Total.Supply.AG.(includes.Reuse)","Total.Supply.Urban.(includes.Reuse)","Total.Supply.MW.(includes.Reuse)","Year","Region"
"540",703,"Lower Kings-Tulare",1769.2,34.7,12.4,1816.3,1974.8,34.8,31.3,"2014","San Joaquin Valley"
"541",704,"Fresno - Academy",390.7,178.2,0,568.9,638.5,211.7,0,"2014","San Joaquin Valley"
"542",705,"Alta - Orange Cove",973.4,41.6,0,1015,1119.8,43.2,0,"2014","San Joaquin Valley"
"543",706,"Kaweah Delta",2053.4,83.1,3.3,2139.8,2344.2,84.4,3.3,"2014","San Joaquin Valley"
"544",707,"Uplands",37.8,11.8,0,49.6,37.8,12.7,0,"2014","San Joaquin Valley"
"545",708,"Semitropic - Buena Vista",1152.8,21.2,47.9,1221.9,1432.1,23.2,61.3,"2014","San Joaquin Valley"
"546",709,"Kern Valley Floor",1014.2,28.6,0,1042.8,1104.1,28.6,0,"2014","San Joaquin Valley"
"547",710,"Kern Delta",1175,124.7,0,1299.7,1407,145.8,0,"2014","San Joaquin Valley"
"548",801,"Lassen",69,8.5,7.7,85.2,233.8,8.5,17.4,"2014",NA
"549",802,"Alpine",2.2,15.2,0,17.4,99.2,21.2,0,"2014",NA
"550",901,"Mono-Owens",164.6,10.1,0,174.7,204,10.7,0,"2014","Southern California"
"551",902,"Indian Wells",15.5,14.2,0,29.7,15.5,14.3,0,"2014","Southern California"
"552",903,"Death Valley",16.1,4.1,0,20.2,16.1,4.1,0,"2014","Southern California"
"553",904,"Antelope Valley",63.3,65.9,0,129.2,87,105.4,0,"2014","Southern California"
"554",905,"Mojave River",90.8,74.3,0,165.1,107.2,89.3,0,"2014","Southern California"
"555",1001,"Twenty-Nine Palms - Lanfair",13.9,12.9,0,26.8,13.9,13.8,0,"2014","Southern California"
"556",1002,"Coachella",20,170.5,0,190.5,389.7,190.6,0,"2014","Southern California"
"557",1003,"Chuckwalla",3.9,1.9,0,5.8,3.9,2,0,"2014","Southern California"
"558",1004,"Colorado River",4,13.6,0,17.6,917,14.6,0,"2014","Southern California"
"559",1005,"Borrego",18.9,6.1,0,25,56.2,9,0,"2014","Southern California"
"560",1006,"Imperial Valley",0,0.1,0,0.1,2968.7,58.1,45.2,"2014","Southern California"
"561",101,"Upper Klamath",140.2,5,0.6,145.8,432.6,8.3,92.9,"2015",NA
"562",102,"Lower Klamath",26.6,6.1,0,32.7,34.5,8.7,0,"2015",NA
"563",103,"Coastal",89.1,15.5,0,104.6,101.1,22.9,0,"2015",NA
"564",104,"Russian River",86.7,22.1,0,108.8,132.4,85,0,"2015",NA
"565",201,"North Bay",96.2,11.9,0,108.1,118.6,112,55.5,"2015","San Francisco Bay Area"
"566",202,"South Bay",10.4,185.7,0,196.1,19,899.1,0.3,"2015","San Francisco Bay Area"
"567",301,"Northern",595.3,86,0,681.3,627.7,115.9,0.4,"2015","Central Coast"
"568",302,"Southern",434.7,73.4,0,508.1,454.6,118.9,0,"2015","Central Coast"
"569",401,"Santa Clara",305.6,71.7,0,377.3,317.045,213.255,0,"2015","Southern California"
"570",402,"Metropolitan LA",3.3,434.5,0,437.8,6.5,1298.7,25,"2015","Southern California"
"571",403,"Santa Ana",150.5,441.1,0.2,591.8,153.4,1023.8,6.1,"2015","Southern California"
"572",404,"San Diego",28.1,27.4,0,55.5,214.4,673.4,0,"2015","Southern California"
"573",501,"Shasta - Pit",71.6,11.1,0.7,83.4,273.7,11.3,16,"2015","Sacramento River Region"
"574",502,"Upper Northwest Valley",0.4,0.3,0,0.7,3,0.8,0,"2015","Sacramento River Region"
"575",503,"Lower Northwest Valley",328,22.9,0,350.9,505.6,33.5,0.7,"2015","Sacramento River Region"
"576",504,"Northeast Valley",221.9,37.7,0,259.6,312.6,62.5,1,"2015","Sacramento River Region"
"577",505,"Southwest",58.5,4.2,0,62.7,72,9.2,0,"2015","Sacramento River Region"
"578",506,"Colusa Basin",541.7,8.5,8.7,558.9,1436.1,8.8,139.1,"2015","Sacramento River Region"
"579",507,"Butte - Sutter - Yuba",776.1,31.8,14.5,822.4,2012.5,48.9,279.9,"2015","Sacramento River Region"
"580",508,"Southeast",23.6,14.3,0,37.9,250,83.4,0.4,"2015","Sacramento River Region"
"581",509,"Central Basin West",460.2,28.9,0,489.1,708.8,51.5,0,"2015","Sacramento River Region"
"582",510,"Sacramento Delta",55.4,4.6,0,60,481.7,20.8,50,"2015","Delta Region"
"583",511,"Central Basin East",220.5,144.8,0.5,365.8,347.3,325.7,2.2,"2015","Sacramento River Region"
"584",601,"Upper West Side Uplands",9.7,1.4,0,11.1,23.7,52.7,0,"2015","San Joaquin Valley"
"585",602,"San Joaquin Delta",0,31.4,0,31.4,587.8,96.6,2.6,"2015","Delta Region"
"586",603,"Eastern Valley Floor",810.2,37.9,0,848.1,925.2,84.2,17.4,"2015","Delta Eastside Tributaries"
"587",604,"Sierra Foothills",12,8.8,0,20.8,36,38.5,0,"2015","Delta Eastside Tributaries"
"588",605,"West Side Uplands",0,0,0,0,0,0.7,0,"2015","San Joaquin Valley"
"589",606,"Valley West Side",898.3,13.2,287.2,1198.7,1487.4,20.3,427.7,"2015","San Joaquin Valley"
"590",607,"Upper Valley East Side",365.1,69.1,0,434.2,887,98.3,12.5,"2015","San Joaquin Valley"
"591",608,"Middle Valley East Side",650.7,41.3,0,692,1069.8,41.3,0,"2015","San Joaquin Valley"
"592",609,"Lower Valley East Side",1958.5,63,16,2037.5,2153.6,63.2,42.9,"2015","San Joaquin Valley"
"593",610,"East Side Uplands",4.7,8.6,0,13.3,4.7,9.1,0,"2015","San Joaquin Valley"
"594",701,"Western Uplands",0,0.9,0,0.9,0,0.9,0,"2015","San Joaquin Valley"
"595",702,"San Luis West Side",1241.1,2.5,0,1243.6,1434.7,9.2,0,"2015","San Joaquin Valley"
"596",703,"Lower Kings-Tulare",1789.9,29.4,9.2,1828.5,1920.9,29.5,27.9,"2015","San Joaquin Valley"
"597",704,"Fresno - Academy",493.1,119.2,0,612.3,618.4,153.6,0,"2015","San Joaquin Valley"
"598",705,"Alta - Orange Cove",968,34.4,0,1002.4,1057,35.8,0,"2015","San Joaquin Valley"
"599",706,"Kaweah Delta",2373.4,69.7,3.6,2446.7,2501.9,70.8,3.6,"2015","San Joaquin Valley"
"600",707,"Uplands",19.4,7.8,0,27.2,20.1,9.8,0,"2015","San Joaquin Valley"
"601",708,"Semitropic - Buena Vista",1052.4,15.8,51.1,1119.3,1263.7,19.7,60.3,"2015","San Joaquin Valley"
"602",709,"Kern Valley Floor",1026.5,23.2,0,1049.7,1100.1,23.2,0,"2015","San Joaquin Valley"
"603",710,"Kern Delta",1060.3,105.3,0,1165.6,1231.3,115.4,0,"2015","San Joaquin Valley"
"604",801,"Lassen",59.2,4.8,7.6,71.6,200.1,7.6,16.6,"2015",NA
"605",802,"Alpine",1.8,14.2,0,16,67.7,18.2,0,"2015",NA
"606",901,"Mono-Owens",123.1,7.2,0,130.3,162.4,7.9,0,"2015","Southern California"
"607",902,"Indian Wells",13.2,11.2,0,24.4,13.2,11.3,0,"2015","Southern California"
"608",903,"Death Valley",13.3,4,0,17.3,13.3,4,0,"2015","Southern California"
"609",904,"Antelope Valley",43.7,41.4,0,85.1,53.6,72.9,0,"2015","Southern California"
"610",905,"Mojave River",68.9,69.5,0,138.4,75.7,82.6,0,"2015","Southern California"
"611",1001,"Twenty-Nine Palms - Lanfair",9.8,11.9,0,21.7,9.8,14.7,0,"2015","Southern California"
"612",1002,"Coachella",20,79.9,0,99.9,330.8,163.1,0,"2015","Southern California"
"613",1003,"Chuckwalla",6.2,1.6,0,7.8,6.2,1.7,0,"2015","Southern California"
"614",1004,"Colorado River",3.3,11.2,0,14.5,590.3,12.4,0,"2015","Southern California"
"615",1005,"Borrego",13.9,5.2,0,19.1,42,7.7,0,"2015","Southern California"
"616",1006,"Imperial Valley",0,0.1,0,0.1,2486.2,55.3,44.5,"2015","Southern California"
